"nbhd_atl_id","nbhd_name","parcels","avgprice","medianprice"
"10","Niskey Cove","5","229597","223500"
"100","Cross Creek","128","167830","164900"
"101","Castlewood","18","1076817","1087500"
"102","Argonne Forest","16","1108581","931500"
"103","Wyngate","12","1487542","1724500"
"104","Peachtree Battle Alliance","36","1189916","1070000"
"105","Memorial Park","14","1018429","1022500"
"106","Wildwood (NPU-C)","19","762366","680000"
"107","Collier Hills North","12","618817","639900"
"108","Beecher Hills","22","130514","97750"
"109","Westwood Terrace","32","126772","113750"
"11","Oakcliff","4","44063","42000"
"112","Mozley Park","114","73765","65000"
"113","Washington Park","63","62455","50000"
"114","Knight Park/Howell Station","24","328575","341000"
"115","Vine City","79","74608","56500"
"116","Pittsburgh","337","52279","37800"
"117","Peoplestown","77","164526","132500"
"118","Summerhill","75","196298","173000"
"119","Castleberry Hill","73","270728","215000"
"12","Just Us","1","115000","115000"
"120","Sweet Auburn","6","312900","276500"
"121","Marietta Street Artery","2","38250","38250"
"122","Sherwood Forest","10","1227000","1025000"
"123","Loring Heights","35","591940","510000"
"124","Brookwood Hills","32","874338","703875"
"125","Old Gordon","2","29000","29000"
"127","Harvel Homes Community","17","60538","52500"
"128","Penelope Neighbors","9","43983","48100"
"129","Dixie Hills","86","48184","35000"
"13","Bush Mountain","33","90329","80000"
"130","Grove Park","275","50199","36000"
"131","Fairburn Heights","38","47132","41000"
"132","Adamsville","60","99447","40000"
"133","Fairburn Road/Wisteria Lane","1","97424","97424"
"134","Ridgecrest Forest","21","96004","45000"
"135","Wildwood (NPU-H)","8","56108","49500"
"136","Boulder Park","2","111000","111000"
"137","Westhaven","7","68643","56000"
"138","Harland Terrace","5","25490","20000"
"139","Peyton Forest","30","118963","104500"
"14","Briar Glen","8","105550","111874.5"
"140","East Ardley Road","8","135875","142500"
"141","West Manor","23","140072","110000"
"142","Audobon Forest West","11","210564","131250"
"143","Audobon Forest","15","221593","265000"
"144","Cascade Heights","25","185506","125000"
"145","Westview","234","152178","139250"
"146","West End","220","144332","120000"
"147","Ashview Heights","93","70231","63000"
"148","Atlanta University Center","21","86789","43000"
"149","Hunter Hills","107","46052","43000"
"15","Fairburn","7","58821","72000"
"150","Historic Westin Heights/Bankhead","50","155728","30000"
"151","English Avenue","103","43274","30000"
"152","Adair Park","63","165099","150000"
"153","Mechanicsville","44","85988","65000"
"155","Grant Park","258","379540","355000"
"156","Hammond Park","39","49128","44000"
"157","Capitol View","129","117644","100500"
"158","High Point","6","211500","215800"
"159","Joyland","18","38383","31250"
"160","Betmar LaVilla","59","97787","55000"
"164","Venetian Hills","214","74421","58250"
"165","Pomona Park","10","112650","106450"
"167","Greenbriar","2","59000","59000"
"168","Laurens Valley","8","116604","99467"
"169","Heritage Valley","19","96757","82500"
"17","Brandon","25","1197786","1090000"
"170","Ben Hill Acres","6","66167","64000"
"171","Rue Royal","1","37000","37000"
"172","Ben Hill Pines","10","48820","42300"
"173","Ben Hill Forest","3","69667","62000"
"174","Deerwood","14","157336","64500"
"175","Wildwood Forest","6","68407","72461"
"176","Fairway Acres","11","117699","64911"
"177","Greenbriar Village","5","66807","70000"
"179","Kings Forest","22","203376","82450"
"18","Poncey-Highland","32","559359","634500"
"180","Whittier Mill Village","10","315500","331500"
"181","Hills Park","29","225253","215000"
"182","Bolton Hills","4","31750","28500"
"183","Carver Hills","41","60924","39500"
"184","Almond Park","49","58774","47000"
"185","Browns Mill Park","40","69051","60250"
"186","Swallow Circle/Baywood","32","42378","39000"
"187","Polar Rock","45","44621","41000"
"188","Sylvan Hills","196","97621","77500"
"189","Capitol View Manor","29","155493","150000"
"19","Inman Park","67","509244","499900"
"191","West Lake","50","49685","45500"
"192","Lakewood Heights","135","65450","50000"
"193","South Atlanta","56","55479","44000"
"194","Collier Heights","111","78592","61000"
"195","Ivan Hill","4","98813","86625"
"196","Chalet Woods","4","474526","128733.5"
"197","Florida Heights","58","97675","65000"
"198","Green Acres Valley","5","68600","75000"
"199","Green Forest Acres","7","116860","117000"
"20","Candler Park","100","431956","416000"
"200","Magnum Manor","12","114998","107750"
"201","Old Fourth Ward","343","342333","262500"
"202","Downtown","263","213283","175000"
"203","Georgia Tech","3","125500","65000"
"204","Home Park","65","335777","325000"
"205","Midtown","816","353348","278025"
"206","Ansley Park","90","732134","486000"
"207","Brookwood","31","251076","151500"
"208","Ardmore","67","457136","501000"
"209","Hanover West","6","849167","735000"
"21","Edgewood","263","321542","290000"
"210","Fairburn Mays","11","80337","78000"
"213","Wesley Battle","6","746667","737500"
"214","Virginia Highland","205","525427","500000"
"215","North Buckhead","296","612398","428250"
"216","Lake Claire","84","584341","580000"
"217","Kirkwood","324","365403","352500"
"218","Mt. Paran/Northside","23","1249048","850000"
"219","East Chastain Park","36","678637","326000"
"22","Custer/McDonough/Guice","33","101803","90000"
"220","Pine Hills","223","377731","230000"
"221","Paces","20","914000","491250"
"223","Bankhead/Bolton","1","45500","45500"
"224","Carroll Heights","61","76655","36012"
"225","Brookhaven","62","1292954","1047500"
"226","Druid Hills","66","650021","539950"
"227","Chattahoochee","2","35000","35000"
"228","English Park","6","39067","32950"
"229","Bakers Ferry","2","64066","64065.5"
"23","Thomasville Heights","38","46740","45000"
"230","Oakland","2","380000","380000"
"231","Atlantic Station","134","340519","320000"
"232","Carey Park","42","51893","40000"
"237","Buckhead Heights","49","291413","265000"
"238","Arlington Estates","16","67116","60750"
"239","Midwest Cascade","23","308300","216500"
"24","Norwood Manor","21","40559","30000"
"240","Chastain Park","48","1229175","962500"
"241","Mt. Paran Parkway","2","970000","970000"
"244","East Lake","175","371264","314000"
"245","Perkerson","21","51107","49500"
"246","Glenrose Heights","64","45146","40000"
"247","Edmund Park","14","729000","627500"
"248","Morningside/Lenox Park","259","766359","649000"
"249","East Atlanta","328","304967","289950"
"25","South River Gardens","38","71476","59300.5"
"250","Huntington","3","202000","235000"
"2561","Peyton Heights","4","112500","100050"
"26","Blair Villa/Poole Creek","23","42265","48000"
"27","Rosedale Heights","6","38616","39750"
"28","Lakewood","54","62095","52000"
"29","Ridgedale Park","42","617958","501000"
"30","Lindbergh/Morosgo","113","265770","212500"
"31","South Tuxedo Park","24","802255","634400"
"32","Buckhead Village","80","272257","232500"
"33","Lindridge/Martin Manor","43","328196","328000"
"34","Atkins Park","11","657909","726000"
"35","Piedmont Heights","44","643211","591250"
"36","Whitewater Creek","3","1142500","850000"
"37","West Paces Ferry/Northside","21","985564","950000"
"3842","Baker Hills at Campbellton","9","68322","60500"
"3843","Bonnybrook Estates","6","89250","84500"
"3844","Continental Colony","7","133249","149900"
"39","Ridgewood Heights","22","469950","462550"
"40","Fernleaf","9","500700","446000"
"41","Westminster/Milmar","8","1022522","1143212.5"
"42","Arden/Habersham","10","2022000","1775000"
"44","Springlake","35","784007","755000"
"45","Channing Valley","8","644988","598000"
"46","Collier Hills","22","643042","636100"
"47","Colonial Homes","7","343757","333000"
"48","Cabbagetown","44","394429","404500"
"49","Reynoldstown","150","384135","360433.5"
"51","Ormewood Park","181","370630","329000"
"52","Woodland Hills","19","314721","295000"
"53","Benteen Park","42","247650","283500"
"54","Boulevard Heights","31","298979","250000"
"55","Rebel Valley Forest","21","32969","33000"
"56","Leila Valley","35","39904","33500"
"57","Chosewood Park","61","157324","125000"
"58","Cascade Avenue/Road","137","127595","80000"
"59","Oakland City","342","72932","63750"
"61","Southwest","22","100683","82000"
"62","Adams Park","45","132616","113000"
"63","Mellwood","3","55667","55000"
"64","Tampa Park","3","59738","51000"
"65","Brentwood","1","55000","55000"
"66","Lake Estates","1","62000","62000"
"67","Butner/Tell","1","34200","34200"
"68","Elmco Estates","11","86089","89900"
"69","Sandlewood Estates","14","119007","127450"
"7","Peachtree Heights East","29","591362","601000"
"71","Ben Hill","1","72600","72600"
"72","Berkeley Park","19","298576","285000"
"73","Underwood Hills","110","307432","300000"
"74","Riverside","95","213301","220000"
"75","Bolton","47","281165","310000"
"76","Blandtown","58","459955","492900"
"77","Lincoln Homes","15","33890","31900"
"78","Scotts Crossing","7","51071","55000"
"79","West Highlands","2","334500","334500"
"8","Mt. Gilead Woods","4","83747","82750"
"80","Rockdale","3","387667","386000"
"81","Monroe Heights","10","55576","53500"
"83","Center Hill","114","50304","41750"
"85","Wisteria Gardens","16","74319","69950"
"86","Baker Hills","31","62427","53000"
"87","Wilson Mill Meadows","14","68371","61450"
"88","Orchard Knob","25","53970","52000"
"9","Meadowbrook Forest","5","93381","76000"
"90","Peachtree Park","47","662953","622500"
"91","Buckhead Forest","81","394354","327000"
"92","Peachtree Heights West","161","526335","235000"
"93","Garden Hills","125","585851","565000"
"94","Peachtree Hills","104","448712","469250"
"95","Randall Mill","17","987147","699000"
"96","Kingswood","20","1991318","1737500"
"97","Tuxedo Park","7","1858429","899000"
"98","Margaret Mitchell","24","846956","785500"
"99","Westover Plantation","35","253251","239500"
